log_size,precomp,c,msm_time(ms)
13.0,10.0,19.0,4.658
13.0,10.0,20.0,10.762
13.0,10.0,21.0,29.844
13.0,10.0,22.0,27.726
13.0,10.0,23.0,62.753
13.0,11.0,9.0,4.268
13.0,11.0,10.0,8.364
13.0,11.0,11.0,2.841
13.0,11.0,12.0,2.58
13.0,11.0,13.0,2.924
13.0,11.0,14.0,22.196
13.0,11.0,15.0,2.179
13.0,11.0,16.0,2.373
13.0,11.0,17.0,2.734
13.0,11.0,18.0,23.398
13.0,11.0,19.0,4.787
13.0,11.0,20.0,7.851
13.0,11.0,21.0,30.716
13.0,11.0,22.0,23.882
13.0,11.0,23.0,56.689
13.0,12.0,9.0,4.29
13.0,12.0,10.0,8.568
13.0,12.0,11.0,2.547
13.0,12.0,12.0,2.573
13.0,12.0,13.0,3.004
13.0,12.0,14.0,21.929
13.0,12.0,15.0,2.193
13.0,12.0,16.0,2.342
13.0,12.0,17.0,2.766
13.0,12.0,18.0,22.717
13.0,12.0,19.0,4.522
13.0,12.0,20.0,7.602
13.0,12.0,21.0,29.778
13.0,12.0,22.0,15.992
13.0,12.0,23.0,38.554
13.0,13.0,9.0,4.495
13.0,13.0,10.0,8.433
13.0,13.0,11.0,3.09
13.0,13.0,12.0,2.54
13.0,13.0,13.0,3.054
13.0,13.0,14.0,22.352
13.0,13.0,15.0,2.177
13.0,13.0,16.0,2.675
13.0,13.0,17.0,3.125
13.0,13.0,18.0,23.285
13.0,13.0,19.0,5.189
13.0,13.0,20.0,4.351
13.0,13.0,21.0,25.398
13.0,13.0,22.0,12.402
13.0,13.0,23.0,38.062
13.0,14.0,9.0,4.574
13.0,14.0,10.0,8.842
13.0,14.0,11.0,2.706
13.0,14.0,12.0,2.684
13.0,14.0,13.0,2.911
13.0,14.0,14.0,22.316
13.0,14.0,15.0,2.168
13.0,14.0,16.0,2.373
13.0,14.0,17.0,3.143
13.0,14.0,18.0,22.398
13.0,14.0,19.0,3.649
13.0,14.0,20.0,5.316
13.0,14.0,21.0,25.52
13.0,14.0,22.0,12.922
13.0,14.0,23.0,39.052
13.0,15.0,9.0,4.922
13.0,15.0,10.0,8.605
13.0,15.0,11.0,3.064
13.0,15.0,12.0,2.591
13.0,15.0,13.0,2.869
13.0,15.0,14.0,22.288
13.0,15.0,15.0,2.152
13.0,15.0,16.0,2.348
13.0,15.0,17.0,2.179
13.0,15.0,18.0,21.695
13.0,15.0,19.0,3.513
13.0,15.0,20.0,4.458
13.0,15.0,21.0,25.212
13.0,15.0,22.0,12.751
13.0,15.0,23.0,38.384
13.0,16.0,9.0,5.028
13.0,16.0,10.0,8.763
13.0,16.0,11.0,2.767
13.0,16.0,12.0,2.64
13.0,16.0,13.0,3.401
13.0,16.0,14.0,22.563
13.0,16.0,15.0,2.178
13.0,16.0,16.0,1.954
13.0,16.0,17.0,2.17
13.0,16.0,18.0,22.367
13.0,16.0,19.0,4.076
13.0,16.0,20.0,5.032
13.0,16.0,21.0,25.898
13.0,16.0,22.0,12.065
13.0,16.0,23.0,38.787
13.0,17.0,9.0,5.157
13.0,17.0,10.0,8.836
13.0,17.0,11.0,2.859
13.0,17.0,12.0,2.737
13.0,17.0,13.0,3.055
13.0,17.0,14.0,22.38
13.0,17.0,15.0,2.118
13.0,17.0,16.0,1.959
13.0,17.0,17.0,2.181
13.0,17.0,18.0,22.355
13.0,17.0,19.0,4.197
13.0,17.0,20.0,4.161
13.0,17.0,21.0,25.718
13.0,17.0,22.0,13.84
13.0,17.0,23.0,36.899
13.0,18.0,9.0,23.871
13.0,18.0,10.0,8.652
13.0,18.0,11.0,2.839
13.0,18.0,12.0,2.738
13.0,18.0,13.0,2.95
13.0,18.0,14.0,22.186
13.0,18.0,15.0,2.049
13.0,18.0,16.0,2.036
13.0,18.0,17.0,4.665
13.0,18.0,18.0,22.988
13.0,18.0,19.0,3.566
13.0,18.0,20.0,4.34
13.0,18.0,21.0,26.109
13.0,18.0,22.0,13.313
13.0,18.0,23.0,37.595
13.0,19.0,9.0,23.947
13.0,19.0,10.0,8.476
13.0,19.0,11.0,2.958
13.0,19.0,12.0,2.688
13.0,19.0,13.0,2.955
13.0,19.0,14.0,21.927
13.0,19.0,15.0,2.183
13.0,19.0,16.0,1.954
13.0,19.0,17.0,2.181
13.0,19.0,18.0,22.814
13.0,19.0,19.0,3.538
13.0,19.0,20.0,4.334
13.0,19.0,21.0,26.037
13.0,19.0,22.0,12.33
13.0,19.0,23.0,38.787
13.0,20.0,9.0,24.319
13.0,20.0,10.0,8.544
13.0,20.0,11.0,2.87
13.0,20.0,12.0,4.037
13.0,20.0,13.0,2.829
13.0,20.0,14.0,22.103
13.0,20.0,15.0,1.944
13.0,20.0,16.0,1.948
13.0,20.0,17.0,2.174
13.0,20.0,18.0,22.951
13.0,20.0,19.0,3.464
13.0,20.0,20.0,4.807
13.0,20.0,21.0,26.422
13.0,20.0,22.0,12.612
13.0,20.0,23.0,38.374
13.0,21.0,9.0,23.818
13.0,21.0,10.0,8.596
13.0,21.0,11.0,2.957
13.0,21.0,12.0,2.869
13.0,21.0,13.0,3.007
13.0,21.0,14.0,21.775
13.0,21.0,15.0,1.976
13.0,21.0,16.0,1.953
13.0,21.0,17.0,2.205
13.0,21.0,18.0,22.272
13.0,21.0,19.0,4.069
13.0,21.0,20.0,7.729
13.0,21.0,21.0,25.798
13.0,21.0,22.0,11.963
13.0,21.0,23.0,38.077
13.0,22.0,9.0,23.5
13.0,22.0,10.0,8.335
13.0,22.0,11.0,3.156
13.0,22.0,12.0,3.074
13.0,22.0,13.0,2.871
13.0,22.0,14.0,22.154
13.0,22.0,15.0,2.288
13.0,22.0,16.0,1.934
13.0,22.0,17.0,2.186
13.0,22.0,18.0,22.641
13.0,22.0,19.0,6.027
13.0,22.0,20.0,4.34
13.0,22.0,21.0,26.026
13.0,22.0,22.0,12.054
13.0,22.0,23.0,38.378
13.0,23.0,9.0,23.665
13.0,23.0,10.0,8.549
13.0,23.0,11.0,2.969
13.0,23.0,12.0,2.592
13.0,23.0,13.0,2.924
13.0,23.0,14.0,22.048
13.0,23.0,15.0,1.944
13.0,23.0,16.0,1.964
13.0,23.0,17.0,2.174
13.0,23.0,18.0,22.7
13.0,23.0,19.0,4.091
13.0,23.0,20.0,4.353
13.0,23.0,21.0,25.151
13.0,23.0,22.0,12.421
13.0,23.0,23.0,38.088
13.0,24.0,9.0,23.946
13.0,24.0,10.0,8.52
13.0,24.0,11.0,3.116
13.0,24.0,12.0,2.603
13.0,24.0,13.0,2.862
13.0,24.0,14.0,22.099
13.0,24.0,15.0,1.938
13.0,24.0,16.0,1.932
13.0,24.0,17.0,2.173
13.0,24.0,18.0,22.222
13.0,24.0,19.0,3.575
13.0,24.0,20.0,5.023
13.0,24.0,21.0,25.742
13.0,24.0,22.0,12.126
13.0,24.0,23.0,38.061
14.0,7.0,9.0,5.334
14.0,7.0,10.0,3.96
14.0,7.0,11.0,3.328
14.0,7.0,12.0,3.612
14.0,7.0,13.0,3.323
14.0,7.0,14.0,2.967
14.0,7.0,15.0,2.583
14.0,7.0,16.0,2.961
14.0,7.0,17.0,3.241
14.0,7.0,18.0,44.757
14.0,7.0,19.0,6.135
14.0,7.0,20.0,7.356
14.0,7.0,21.0,49.874
14.0,7.0,22.0,24.736
14.0,7.0,23.0,77.768
14.0,8.0,9.0,5.639
14.0,8.0,10.0,3.833
14.0,8.0,11.0,3.351
14.0,8.0,12.0,3.933
14.0,8.0,13.0,3.523
14.0,8.0,14.0,2.896
14.0,8.0,15.0,5.216
14.0,8.0,16.0,2.391
14.0,8.0,17.0,2.833
14.0,8.0,18.0,43.453
14.0,8.0,19.0,6.479
14.0,8.0,20.0,10.134
14.0,8.0,21.0,49.705
14.0,8.0,22.0,33.951
14.0,8.0,23.0,75.654
14.0,9.0,9.0,5.579
14.0,9.0,10.0,13.388
14.0,9.0,11.0,3.42
14.0,9.0,12.0,3.351
14.0,9.0,13.0,3.77
14.0,9.0,14.0,2.849
14.0,9.0,15.0,2.278
14.0,9.0,16.0,2.679
14.0,9.0,17.0,2.884
14.0,9.0,18.0,44.174
14.0,9.0,19.0,5.811
14.0,9.0,20.0,7.203
14.0,9.0,21.0,52.269
14.0,9.0,22.0,23.929
14.0,9.0,23.0,76.05
14.0,10.0,9.0,6.454
14.0,10.0,10.0,14.409
14.0,10.0,11.0,3.469
14.0,10.0,12.0,3.346
14.0,10.0,13.0,3.594
14.0,10.0,14.0,3.269
14.0,10.0,15.0,2.295
14.0,10.0,16.0,4.329
14.0,10.0,17.0,2.877
14.0,10.0,18.0,43.55
14.0,10.0,19.0,6.006
14.0,10.0,20.0,7.795
14.0,10.0,21.0,49.729
14.0,10.0,22.0,27.5
14.0,10.0,23.0,74.772
14.0,11.0,9.0,6.466
14.0,11.0,10.0,15.292
14.0,11.0,11.0,3.39
14.0,11.0,12.0,3.166
14.0,11.0,13.0,3.722
14.0,11.0,14.0,2.785
14.0,11.0,15.0,2.331
14.0,11.0,16.0,2.384
14.0,11.0,17.0,2.478
14.0,11.0,18.0,42.986
14.0,11.0,19.0,5.94
14.0,11.0,20.0,20.263
14.0,11.0,21.0,49.968
14.0,11.0,22.0,28.009
14.0,11.0,23.0,75.504
14.0,12.0,9.0,6.902
14.0,12.0,10.0,14.813
14.0,12.0,11.0,3.324
14.0,12.0,12.0,3.44
14.0,12.0,13.0,3.884
14.0,12.0,14.0,2.6
14.0,12.0,15.0,2.282
14.0,12.0,16.0,2.379
14.0,12.0,17.0,3.359
14.0,12.0,18.0,43.835
14.0,12.0,19.0,6.046
14.0,12.0,20.0,7.366
14.0,12.0,21.0,49.843
14.0,12.0,22.0,12.63
14.0,12.0,23.0,60.841
14.0,13.0,9.0,6.973
14.0,13.0,10.0,15.543
14.0,13.0,11.0,3.411
14.0,13.0,12.0,3.298
14.0,13.0,13.0,3.909
14.0,13.0,14.0,2.585
14.0,13.0,15.0,2.279
14.0,13.0,16.0,2.388
14.0,13.0,17.0,5.706
14.0,13.0,18.0,42.738
14.0,13.0,19.0,5.581
14.0,13.0,20.0,4.954
14.0,13.0,21.0,45.494
14.0,13.0,22.0,13.086
14.0,13.0,23.0,58.625
14.0,14.0,9.0,7.101
14.0,14.0,10.0,15.265
14.0,14.0,11.0,3.369
14.0,14.0,12.0,3.422
14.0,14.0,13.0,4.061
14.0,14.0,14.0,2.582
14.0,14.0,15.0,2.287
14.0,14.0,16.0,2.457
14.0,14.0,17.0,3.152
14.0,14.0,18.0,43.711
14.0,14.0,19.0,4.619
14.0,14.0,20.0,4.505
14.0,14.0,21.0,45.621
14.0,14.0,22.0,15.054
14.0,14.0,23.0,59.362
14.0,15.0,9.0,10.488
14.0,15.0,10.0,16.088
14.0,15.0,11.0,3.577
14.0,15.0,12.0,3.346
14.0,15.0,13.0,3.808
14.0,15.0,14.0,2.63
14.0,15.0,15.0,2.282
14.0,15.0,16.0,2.377
14.0,15.0,17.0,2.196
14.0,15.0,18.0,42.05
14.0,15.0,19.0,4.366
14.0,15.0,20.0,4.874
14.0,15.0,21.0,45.718
14.0,15.0,22.0,12.696
14.0,15.0,23.0,61.024
14.0,16.0,9.0,8.486
14.0,16.0,10.0,14.89
14.0,16.0,11.0,3.501
14.0,16.0,12.0,3.251
14.0,16.0,13.0,3.992
14.0,16.0,14.0,3.281
14.0,16.0,15.0,2.611
14.0,16.0,16.0,2.045
14.0,16.0,17.0,2.218
14.0,16.0,18.0,42.473
14.0,16.0,19.0,4.394
14.0,16.0,20.0,7.444
14.0,16.0,21.0,46.119
14.0,16.0,22.0,13.41
14.0,16.0,23.0,59.137
14.0,17.0,9.0,8.431
14.0,17.0,10.0,15.263
14.0,17.0,11.0,4.027
14.0,17.0,12.0,3.353
14.0,17.0,13.0,3.984
14.0,17.0,14.0,3.309
14.0,17.0,15.0,2.073
14.0,17.0,16.0,2.036
14.0,17.0,17.0,2.216
14.0,17.0,18.0,42.332
14.0,17.0,19.0,5.422
14.0,17.0,20.0,7.276
14.0,17.0,21.0,45.716
14.0,17.0,22.0,12.767
14.0,17.0,23.0,58.159
14.0,18.0,9.0,46.167
14.0,18.0,10.0,15.51
14.0,18.0,11.0,3.748
14.0,18.0,12.0,3.829
14.0,18.0,13.0,3.888
14.0,18.0,14.0,3.459
14.0,18.0,15.0,2.079
14.0,18.0,16.0,2.053
14.0,18.0,17.0,4.548
14.0,18.0,18.0,42.462
14.0,18.0,19.0,4.531
14.0,18.0,20.0,4.272
14.0,18.0,21.0,45.45
14.0,18.0,22.0,15.4
14.0,18.0,23.0,59.094
14.0,19.0,9.0,45.501
14.0,19.0,10.0,15.848
14.0,19.0,11.0,3.862
14.0,19.0,12.0,3.451
14.0,19.0,13.0,3.949
14.0,19.0,14.0,3.16
14.0,19.0,15.0,2.247
14.0,19.0,16.0,2.067
14.0,19.0,17.0,2.221
14.0,19.0,18.0,42.434
14.0,19.0,19.0,4.442
14.0,19.0,20.0,4.619
14.0,19.0,21.0,45.763
14.0,19.0,22.0,12.761
14.0,19.0,23.0,58.607
14.0,20.0,9.0,46.205
14.0,20.0,10.0,15.895
14.0,20.0,11.0,3.685
14.0,20.0,12.0,3.684
14.0,20.0,13.0,3.811
14.0,20.0,14.0,3.019
14.0,20.0,15.0,2.215
14.0,20.0,16.0,2.036
14.0,20.0,17.0,2.222
14.0,20.0,18.0,43.254
14.0,20.0,19.0,4.406
14.0,20.0,20.0,4.64
14.0,20.0,21.0,45.271
14.0,20.0,22.0,12.899
14.0,20.0,23.0,58.285
14.0,21.0,9.0,46.307
14.0,21.0,10.0,15.367
14.0,21.0,11.0,3.897
14.0,21.0,12.0,3.534
14.0,21.0,13.0,3.918
14.0,21.0,14.0,3.251
14.0,21.0,15.0,2.414
14.0,21.0,16.0,2.029
14.0,21.0,17.0,2.783
14.0,21.0,18.0,43.269
14.0,21.0,19.0,4.361
14.0,21.0,20.0,7.0
14.0,21.0,21.0,46.822
14.0,21.0,22.0,12.165
14.0,21.0,23.0,60.63
14.0,22.0,9.0,46.29
14.0,22.0,10.0,15.629
14.0,22.0,11.0,3.933
14.0,22.0,12.0,3.93
14.0,22.0,13.0,4.07
14.0,22.0,14.0,3.135
14.0,22.0,15.0,2.049
14.0,22.0,16.0,2.032
14.0,22.0,17.0,2.213
14.0,22.0,18.0,42.138
14.0,22.0,19.0,4.404
14.0,22.0,20.0,4.844
14.0,22.0,21.0,46.668
14.0,22.0,22.0,12.148
14.0,22.0,23.0,58.593
14.0,23.0,9.0,46.459
14.0,23.0,10.0,15.41
14.0,23.0,11.0,4.271
14.0,23.0,12.0,3.853
14.0,23.0,13.0,3.978
14.0,23.0,14.0,3.406
14.0,23.0,15.0,2.052
14.0,23.0,16.0,2.134
14.0,23.0,17.0,2.236
14.0,23.0,18.0,41.722
14.0,23.0,19.0,4.348
14.0,23.0,20.0,5.154
14.0,23.0,21.0,45.854
14.0,23.0,22.0,13.169
14.0,23.0,23.0,58.366
14.0,24.0,9.0,46.231
14.0,24.0,10.0,15.397
14.0,24.0,11.0,4.421
14.0,24.0,12.0,3.755
14.0,24.0,13.0,3.962
14.0,24.0,14.0,3.032
14.0,24.0,15.0,2.061
14.0,24.0,16.0,2.354
14.0,24.0,17.0,2.215
14.0,24.0,18.0,42.98
14.0,24.0,19.0,5.083
14.0,24.0,20.0,4.602
14.0,24.0,21.0,46.43
14.0,24.0,22.0,12.676
14.0,24.0,23.0,57.747
15.0,7.0,9.0,8.26
15.0,7.0,10.0,5.436
15.0,7.0,11.0,4.716
15.0,7.0,12.0,4.722
15.0,7.0,13.0,2.972
15.0,7.0,14.0,3.167
15.0,7.0,15.0,2.79
15.0,7.0,16.0,3.054
15.0,7.0,17.0,3.772
15.0,7.0,18.0,84.453
15.0,7.0,19.0,10.185
15.0,7.0,20.0,7.471
15.0,7.0,21.0,90.578
15.0,7.0,22.0,24.402
15.0,7.0,23.0,131.346
15.0,8.0,9.0,8.977
15.0,8.0,10.0,5.788
15.0,8.0,11.0,4.285
15.0,8.0,12.0,4.904
15.0,8.0,13.0,4.908
15.0,8.0,14.0,3.065
15.0,8.0,15.0,2.922
15.0,8.0,16.0,2.596
15.0,8.0,17.0,2.937
15.0,8.0,18.0,82.955
15.0,8.0,19.0,7.702
15.0,8.0,20.0,7.623
15.0,8.0,21.0,89.123
15.0,8.0,22.0,30.182
15.0,8.0,23.0,117.137
15.0,9.0,9.0,9.572
15.0,9.0,10.0,25.114
15.0,9.0,11.0,4.524
15.0,9.0,12.0,4.857
15.0,9.0,13.0,5.382
15.0,9.0,14.0,3.466
15.0,9.0,15.0,2.494
15.0,9.0,16.0,2.609
15.0,9.0,17.0,3.204
15.0,9.0,18.0,82.711
15.0,9.0,19.0,8.207
15.0,9.0,20.0,10.386
15.0,9.0,21.0,92.585
15.0,9.0,22.0,24.369
15.0,9.0,23.0,116.549
15.0,10.0,9.0,10.897
15.0,10.0,10.0,26.536
15.0,10.0,11.0,4.63
15.0,10.0,12.0,4.74
15.0,10.0,13.0,5.205
15.0,10.0,14.0,2.813
15.0,10.0,15.0,2.5
15.0,10.0,16.0,2.596
15.0,10.0,17.0,3.028
15.0,10.0,18.0,83.015
15.0,10.0,19.0,7.804
15.0,10.0,20.0,7.54
15.0,10.0,21.0,93.194
15.0,10.0,22.0,25.077
15.0,10.0,23.0,119.912
15.0,11.0,9.0,11.359
15.0,11.0,10.0,28.508
15.0,11.0,11.0,4.641
15.0,11.0,12.0,4.851
15.0,11.0,13.0,5.761
15.0,11.0,14.0,2.816
15.0,11.0,15.0,2.525
15.0,11.0,16.0,2.592
15.0,11.0,17.0,2.854
15.0,11.0,18.0,82.985
15.0,11.0,19.0,7.911
15.0,11.0,20.0,9.488
15.0,11.0,21.0,90.248
15.0,11.0,22.0,27.921
15.0,11.0,23.0,114.72
15.0,12.0,9.0,11.365
15.0,12.0,10.0,28.365
15.0,12.0,11.0,4.743
15.0,12.0,12.0,4.52
15.0,12.0,13.0,5.844
15.0,12.0,14.0,2.997
15.0,12.0,15.0,2.504
15.0,12.0,16.0,2.597
15.0,12.0,17.0,2.93
15.0,12.0,18.0,82.425
15.0,12.0,19.0,7.756
15.0,12.0,20.0,7.887
15.0,12.0,21.0,93.51
15.0,12.0,22.0,12.344
15.0,12.0,23.0,102.177
15.0,13.0,9.0,11.821
15.0,13.0,10.0,29.595
15.0,13.0,11.0,4.936
15.0,13.0,12.0,4.793
15.0,13.0,13.0,5.806
15.0,13.0,14.0,3.011
15.0,13.0,15.0,2.495
15.0,13.0,16.0,2.596
15.0,13.0,17.0,2.919
15.0,13.0,18.0,84.578
15.0,13.0,19.0,8.008
15.0,13.0,20.0,5.014
15.0,13.0,21.0,84.82
15.0,13.0,22.0,12.116
15.0,13.0,23.0,101.069
15.0,14.0,9.0,12.547
15.0,14.0,10.0,29.235
15.0,14.0,11.0,5.17
15.0,14.0,12.0,4.882
15.0,14.0,13.0,5.974
15.0,14.0,14.0,4.233
15.0,14.0,15.0,2.493
15.0,14.0,16.0,2.59
15.0,14.0,17.0,2.906
15.0,14.0,18.0,82.378
15.0,14.0,19.0,6.185
15.0,14.0,20.0,4.899
15.0,14.0,21.0,86.429
15.0,14.0,22.0,12.051
15.0,14.0,23.0,99.294
15.0,15.0,9.0,14.141
15.0,15.0,10.0,29.339
15.0,15.0,11.0,5.301
15.0,15.0,12.0,4.88
15.0,15.0,13.0,5.982
15.0,15.0,14.0,4.634
15.0,15.0,15.0,2.499
15.0,15.0,16.0,2.634
15.0,15.0,17.0,2.604
15.0,15.0,18.0,82.2
15.0,15.0,19.0,7.316
15.0,15.0,20.0,5.03
15.0,15.0,21.0,86.29
15.0,15.0,22.0,12.904
15.0,15.0,23.0,98.819
15.0,16.0,9.0,14.928
15.0,16.0,10.0,29.798
15.0,16.0,11.0,5.394
15.0,16.0,12.0,4.728
15.0,16.0,13.0,5.898
15.0,16.0,14.0,4.15
15.0,16.0,15.0,2.508
15.0,16.0,16.0,2.281
15.0,16.0,17.0,2.51
15.0,16.0,18.0,82.551
15.0,16.0,19.0,6.051
15.0,16.0,20.0,5.426
15.0,16.0,21.0,86.042
15.0,16.0,22.0,12.086
15.0,16.0,23.0,99.254
15.0,17.0,9.0,15.548
15.0,17.0,10.0,28.827
15.0,17.0,11.0,5.243
15.0,17.0,12.0,5.043
15.0,17.0,13.0,5.872
15.0,17.0,14.0,4.625
15.0,17.0,15.0,2.31
15.0,17.0,16.0,2.264
15.0,17.0,17.0,2.771
15.0,17.0,18.0,83.098
15.0,17.0,19.0,9.056
15.0,17.0,20.0,4.817
15.0,17.0,21.0,85.516
15.0,17.0,22.0,13.347
15.0,17.0,23.0,100.412
15.0,18.0,9.0,90.079
15.0,18.0,10.0,29.198
15.0,18.0,11.0,6.168
15.0,18.0,12.0,4.658
15.0,18.0,13.0,5.969
15.0,18.0,14.0,4.475
15.0,18.0,15.0,2.54
15.0,18.0,16.0,2.623
15.0,18.0,17.0,2.402
15.0,18.0,18.0,82.014
15.0,18.0,19.0,6.797
15.0,18.0,20.0,5.212
15.0,18.0,21.0,87.209
15.0,18.0,22.0,13.084
15.0,18.0,23.0,99.141
15.0,19.0,9.0,90.236
15.0,19.0,10.0,29.107
15.0,19.0,11.0,5.732
15.0,19.0,12.0,4.71
15.0,19.0,13.0,6.146
15.0,19.0,14.0,4.379
15.0,19.0,15.0,2.285
15.0,19.0,16.0,2.281
15.0,19.0,17.0,2.431
15.0,19.0,18.0,82.547
15.0,19.0,19.0,6.7
15.0,19.0,20.0,14.648
15.0,19.0,21.0,85.941
15.0,19.0,22.0,12.022
15.0,19.0,23.0,98.812
15.0,20.0,9.0,89.873
15.0,20.0,10.0,28.991
15.0,20.0,11.0,5.807
15.0,20.0,12.0,4.705
15.0,20.0,13.0,5.983
15.0,20.0,14.0,4.668
15.0,20.0,15.0,2.344
15.0,20.0,16.0,2.276
15.0,20.0,17.0,2.89
15.0,20.0,18.0,81.804
15.0,20.0,19.0,6.499
15.0,20.0,20.0,5.05
15.0,20.0,21.0,86.197
15.0,20.0,22.0,23.115
15.0,20.0,23.0,98.339
15.0,21.0,9.0,90.318
15.0,21.0,10.0,29.069
15.0,21.0,11.0,6.159
15.0,21.0,12.0,5.393
15.0,21.0,13.0,6.094
15.0,21.0,14.0,4.316
15.0,21.0,15.0,2.315
15.0,21.0,16.0,2.278
15.0,21.0,17.0,2.591
15.0,21.0,18.0,83.322
15.0,21.0,19.0,7.207
15.0,21.0,20.0,4.433
15.0,21.0,21.0,85.755
15.0,21.0,22.0,12.372
15.0,21.0,23.0,100.816
15.0,22.0,9.0,90.381
15.0,22.0,10.0,29.365
15.0,22.0,11.0,5.999
15.0,22.0,12.0,5.993
15.0,22.0,13.0,5.903
15.0,22.0,14.0,4.4
15.0,22.0,15.0,2.323
15.0,22.0,16.0,2.271
15.0,22.0,17.0,2.418
15.0,22.0,18.0,82.505
15.0,22.0,19.0,7.186
15.0,22.0,20.0,4.615
15.0,22.0,21.0,85.893
15.0,22.0,22.0,12.943
15.0,22.0,23.0,99.244
15.0,23.0,9.0,91.197
15.0,23.0,10.0,29.719
15.0,23.0,11.0,6.017
15.0,23.0,12.0,6.269
15.0,23.0,13.0,6.136
15.0,23.0,14.0,4.43
15.0,23.0,15.0,2.32
15.0,23.0,16.0,2.268
15.0,23.0,17.0,2.655
15.0,23.0,18.0,82.422
15.0,23.0,19.0,6.263
15.0,23.0,20.0,4.652
15.0,23.0,21.0,85.392
15.0,23.0,22.0,12.781
15.0,23.0,23.0,99.029
15.0,24.0,9.0,90.444
15.0,24.0,10.0,29.821
15.0,24.0,11.0,7.195
15.0,24.0,12.0,6.19
15.0,24.0,13.0,6.071
15.0,24.0,14.0,4.451
15.0,24.0,15.0,2.34
15.0,24.0,16.0,2.282
15.0,24.0,17.0,2.5
15.0,24.0,18.0,81.463
15.0,24.0,19.0,5.943
15.0,24.0,20.0,10.001
15.0,24.0,21.0,86.667
15.0,24.0,22.0,13.722
15.0,24.0,23.0,99.041
16.0,7.0,9.0,14.324
16.0,7.0,10.0,9.73
16.0,7.0,11.0,6.236
16.0,7.0,12.0,7.31
16.0,7.0,13.0,9.043
16.0,7.0,14.0,3.935
16.0,7.0,15.0,3.45
16.0,7.0,16.0,3.78
16.0,7.0,17.0,3.695
16.0,7.0,18.0,186.074
16.0,7.0,19.0,10.829
16.0,7.0,20.0,15.225
16.0,7.0,21.0,169.654
16.0,7.0,22.0,27.721
16.0,7.0,23.0,199.162
16.0,8.0,9.0,16.509
16.0,8.0,10.0,12.483
16.0,8.0,11.0,6.56
16.0,8.0,12.0,7.91
16.0,8.0,13.0,7.834
16.0,8.0,14.0,3.667
16.0,8.0,15.0,3.377
16.0,8.0,16.0,3.161
16.0,8.0,17.0,3.965
16.0,8.0,18.0,162.778
16.0,8.0,19.0,11.277
16.0,8.0,20.0,7.462
16.0,8.0,21.0,169.863
16.0,8.0,22.0,34.834
16.0,8.0,23.0,196.798
16.0,9.0,9.0,16.974
16.0,9.0,10.0,48.571
16.0,9.0,11.0,7.499
16.0,9.0,12.0,7.238
16.0,9.0,13.0,8.607
16.0,9.0,14.0,3.675
16.0,9.0,15.0,3.409
16.0,9.0,16.0,3.288
16.0,9.0,17.0,3.839
16.0,9.0,18.0,163.871
16.0,9.0,19.0,11.379
16.0,9.0,20.0,8.33
16.0,9.0,21.0,169.771
16.0,9.0,22.0,30.695
16.0,9.0,23.0,201.67
16.0,10.0,9.0,19.931
16.0,10.0,10.0,59.788
16.0,10.0,11.0,6.817
16.0,10.0,12.0,7.325
16.0,10.0,13.0,8.505
16.0,10.0,14.0,3.498
16.0,10.0,15.0,3.122
16.0,10.0,16.0,3.269
16.0,10.0,17.0,3.613
16.0,10.0,18.0,164.4
16.0,10.0,19.0,11.046
16.0,10.0,20.0,7.931
16.0,10.0,21.0,169.327
16.0,10.0,22.0,30.99
16.0,10.0,23.0,201.912
16.0,11.0,9.0,20.301
16.0,11.0,10.0,55.476
16.0,11.0,11.0,7.146
16.0,11.0,12.0,7.681
16.0,11.0,13.0,9.67
16.0,11.0,14.0,3.701
16.0,11.0,15.0,3.117
16.0,11.0,16.0,3.459
16.0,11.0,17.0,3.979
16.0,11.0,18.0,164.282
16.0,11.0,19.0,11.547
16.0,11.0,20.0,7.762
16.0,11.0,21.0,170.81
16.0,11.0,22.0,29.004
16.0,11.0,23.0,211.706
16.0,12.0,9.0,21.43
16.0,12.0,10.0,55.469
16.0,12.0,11.0,7.574
16.0,12.0,12.0,7.49
16.0,12.0,13.0,10.004
16.0,12.0,14.0,3.846
16.0,12.0,15.0,3.072
16.0,12.0,16.0,3.301
16.0,12.0,17.0,3.345
16.0,12.0,18.0,164.42
16.0,12.0,19.0,11.547
16.0,12.0,20.0,7.782
16.0,12.0,21.0,171.49
16.0,12.0,22.0,13.083
16.0,12.0,23.0,181.926
16.0,13.0,9.0,21.97
16.0,13.0,10.0,57.353
16.0,13.0,11.0,8.074
16.0,13.0,12.0,7.583
16.0,13.0,13.0,9.807
16.0,13.0,14.0,3.651
16.0,13.0,15.0,3.124
16.0,13.0,16.0,3.278
16.0,13.0,17.0,3.925
16.0,13.0,18.0,164.225
16.0,13.0,19.0,11.256
16.0,13.0,20.0,5.26
16.0,13.0,21.0,166.39
16.0,13.0,22.0,13.455
16.0,13.0,23.0,181.167
16.0,14.0,9.0,22.901
16.0,14.0,10.0,57.366
16.0,14.0,11.0,9.766
16.0,14.0,12.0,8.527
16.0,14.0,13.0,9.623
16.0,14.0,14.0,6.447
16.0,14.0,15.0,3.094
16.0,14.0,16.0,3.224
16.0,14.0,17.0,5.711
16.0,14.0,18.0,163.359
16.0,14.0,19.0,11.106
16.0,14.0,20.0,5.828
16.0,14.0,21.0,167.567
