log_size,precomp,c,msm_time(ms)
10.0,18.0,17.0,1.541
10.0,18.0,18.0,4.22
10.0,18.0,19.0,3.171
10.0,18.0,20.0,4.251
10.0,18.0,21.0,8.304
10.0,18.0,22.0,15.495
10.0,18.0,23.0,26.743
10.0,19.0,9.0,3.867
10.0,19.0,10.0,1.933
10.0,19.0,11.0,3.514
10.0,19.0,12.0,3.9
10.0,19.0,13.0,1.498
10.0,19.0,14.0,3.587
10.0,19.0,15.0,1.221
10.0,19.0,16.0,1.65
10.0,19.0,17.0,1.979
10.0,19.0,18.0,4.111
10.0,19.0,19.0,2.97
10.0,19.0,20.0,4.476
10.0,19.0,21.0,8.316
10.0,19.0,22.0,12.444
10.0,19.0,23.0,23.07
10.0,20.0,9.0,3.716
10.0,20.0,10.0,1.907
10.0,20.0,11.0,3.512
10.0,20.0,12.0,3.748
10.0,20.0,13.0,1.27
10.0,20.0,14.0,3.621
10.0,20.0,15.0,1.278
10.0,20.0,16.0,1.276
10.0,20.0,17.0,1.81
10.0,20.0,18.0,4.091
10.0,20.0,19.0,2.478
10.0,20.0,20.0,4.125
10.0,20.0,21.0,8.282
10.0,20.0,22.0,12.485
10.0,20.0,23.0,23.986
10.0,21.0,9.0,3.866
10.0,21.0,10.0,1.954
10.0,21.0,11.0,3.382
10.0,21.0,12.0,3.671
10.0,21.0,13.0,1.245
10.0,21.0,14.0,3.822
10.0,21.0,15.0,1.551
10.0,21.0,16.0,1.7
10.0,21.0,17.0,1.513
10.0,21.0,18.0,4.126
10.0,21.0,19.0,2.481
10.0,21.0,20.0,4.11
10.0,21.0,21.0,7.792
10.0,21.0,22.0,16.539
10.0,21.0,23.0,23.034
10.0,22.0,9.0,4.406
10.0,22.0,10.0,2.043
10.0,22.0,11.0,3.665
10.0,22.0,12.0,3.517
10.0,22.0,13.0,1.272
10.0,22.0,14.0,3.842
10.0,22.0,15.0,1.226
10.0,22.0,16.0,1.265
10.0,22.0,17.0,1.852
10.0,22.0,18.0,4.364
10.0,22.0,19.0,2.452
10.0,22.0,20.0,7.945
10.0,22.0,21.0,8.331
10.0,22.0,22.0,13.605
10.0,22.0,23.0,23.677
10.0,23.0,9.0,3.755
10.0,23.0,10.0,2.05
10.0,23.0,11.0,4.008
10.0,23.0,12.0,3.618
10.0,23.0,13.0,1.274
10.0,23.0,14.0,3.695
10.0,23.0,15.0,1.241
10.0,23.0,16.0,1.277
10.0,23.0,17.0,1.513
10.0,23.0,18.0,4.167
10.0,23.0,19.0,2.483
10.0,23.0,20.0,3.84
10.0,23.0,21.0,8.127
10.0,23.0,22.0,12.144
10.0,23.0,23.0,23.054
10.0,24.0,9.0,3.879
10.0,24.0,10.0,1.873
10.0,24.0,11.0,3.641
10.0,24.0,12.0,3.513
10.0,24.0,13.0,1.265
10.0,24.0,14.0,3.678
10.0,24.0,15.0,1.213
10.0,24.0,16.0,1.278
10.0,24.0,17.0,1.531
10.0,24.0,18.0,4.149
10.0,24.0,19.0,2.447
10.0,24.0,20.0,4.176
10.0,24.0,21.0,7.997
10.0,24.0,22.0,12.75
10.0,24.0,23.0,23.571
11.0,7.0,9.0,2.028
11.0,7.0,10.0,2.423
